 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1369,Plate_10_p1.tif,12,255,14496.500,1603.917,12.728,0.931,3060,3060,1.699,0.588,0.800
1370,Plate_10_p1.tif,15,255,13973.367,1605.833,15.314,0.804,3825,3825,1.619,0.617,0.789
1371,Plate_10_p1.tif,49,255,15423.112,1610.643,26.142,0.901,12495,12495,1.108,0.902,0.899
1372,Plate_10_p1.tif,32,255,12766.312,1610.938,20.485,0.958,8160,8160,1.105,0.905,0.941
1373,Plate_10_p1.tif,10,255,38823.400,1610.800,11.899,0.887,2550,2550,1.921,0.521,0.800
1374,Plate_10_p1.tif,53,255,25982.915,1618.840,78.468,0.108,13515,13515,14.290,0.070,0.424
1375,Plate_10_p1.tif,24,255,26025.125,1612.625,18.142,0.916,6120,6120,1.212,0.825,0.873
1376,Plate_10_p1.tif,110,255,38067.027,1623.400,88.225,0.178,28050,28050,1.715,0.583,0.389
1377,Plate_10_p1.tif,11,255,43983.591,1612.409,13.899,0.715,2805,2805,2.662,0.376,0.786
1378,Plate_10_p1.tif,41,255,1607.915,1615.817,22.971,0.976,10455,10455,1.273,0.785,0.872
1379,Plate_10_p1.tif,14,255,15047.929,1614.643,13.899,0.911,3570,3570,1.883,0.531,0.848
1380,Plate_10_p1.tif,59,255,14385.568,1617.941,28.627,0.905,15045,15045,1.025,0.976,0.868
1381,Plate_10_p1.tif,17,255,3010.265,1616.382,15.314,0.911,4335,4335,1.405,0.712,0.829
1382,Plate_10_p1.tif,51,255,9675.500,1619.559,26.728,0.897,13005,13005,1.113,0.898,0.919
1383,Plate_10_p1.tif,33,255,34351.470,1620.773,24.971,0.665,8415,8415,1.810,0.552,0.795
1384,Plate_10_p1.tif,33,255,43893.197,1619.470,26.971,0.570,8415,8415,2.233,0.448,0.725
1385,Plate_10_p1.tif,11,255,11035.136,1619.409,11.071,1.000,2805,2805,1.372,0.729,0.957
1386,Plate_10_p1.tif,18,255,11110.500,1621.111,16.142,0.868,4590,4590,1.197,0.836,0.800
1387,Plate_10_p1.tif,578,255,6133.841,1633.607,131.196,0.422,147390,147390,1.279,0.782,0.733
1388,Plate_10_p1.tif,18,255,29104.111,1623.611,20.142,0.558,4590,4590,2.636,0.379,0.667
1389,Plate_10_p1.tif,47,255,41484.223,1624.330,29.213,0.692,11985,11985,1.217,0.821,0.817
1390,Plate_10_p1.tif,14,255,15407.714,1625.214,13.899,0.911,3570,3570,1.345,0.743,0.824
