 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
11564,56.016,255,33.162,0.640,12.141,14284.040,4845,11732,26727,171.870,8.585,1.189,0.841,0.745
11565,61.912,255,33.579,0.690,11.518,15787.623,5355,41260,26724,116.565,9.995,1.263,0.792,0.737
11566,50.119,255,34.585,0.527,14.670,12780.457,4335,3839,26727,159.444,5.151,2.608,0.383,0.773
11567,64.860,255,29.728,0.922,11.518,16539.414,5610,11286,26734,63.435,8.585,1.245,0.803,0.880
11568,67.809,255,35.174,0.689,15.830,17291.206,5865,3805,26729,167.471,5.151,3.019,0.331,0.920
11569,70.757,255,36.007,0.686,13.077,18042.998,6120,8741,26738,66.801,10.302,1.126,0.888,0.774
11570,232.908,255,64.730,0.699,21.514,59391.534,20145,6549,26744,61.390,18.212,1.051,0.951,0.823
11571,91.394,255,36.596,0.858,14.670,23305.538,7905,8946,26741,69.444,8.585,1.466,0.682,0.886
11572,106.135,255,38.608,0.895,15.830,27064.496,9180,37355,26741,139.399,10.302,1.337,0.748,0.935
11573,70.757,255,32.156,0.860,12.141,18042.998,6120,26858,26743,98.130,8.585,1.234,0.810,0.842
11574,50.119,255,27.300,0.845,11.518,12780.457,4335,36133,26744,116.565,6.868,1.539,0.650,0.895
