============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  214 54 .1176444E+11   8240000E+01  .3379E+05  .1803E+06   .9999832 -.0002972  .0057911
T  215 54 .1181087E+11   8240000E+01  .1806E+06  .1117E+06   .9999687  .0014185  .0077877
T  216 54 .1173924E+11   8240000E+01  .5002E+06  .3379E+06   .9998694  .0122093  .0105904
T  217 54 .1175447E+11   8240000E+01 -.2433E+06  .2617E+06   .9999898 -.0001969  .0045205
T  218 54 .1179472E+11   8240000E+01 -.2299E+06 -.2468E+05   .9999797 -.0056615 -.0029374
T  219 54 .1166849E+11   8240000E+01 -.4891E+06  .1246E+06   .9996360 -.0259191  .0074914
T  220 54 .1173633E+11   8240000E+01  .8861E+05  .4580E+05   .9999973  .0013023  .0019232
T  221 54 .1183678E+11   8240000E+01  .3444E+05  .7589E+05   .9999927  .0024802  .0029237
T  222 54 .1182294E+11   8240000E+01 -.1273E+06 -.1855E+06   .9999954 -.0016566 -.0025253
T  223 54 .1180608E+11   8240000E+01  .7424E+05 -.2646E+06   .9999699 -.0009161 -.0077061
T  224 54 .1171033E+11   8240000E+01  .6359E+05  .3334E+04   .9999856  .0051737  .0014137
T  225 54 .1180463E+11   8240000E+01 -.2859E+05  .1319E+06   .9999902 -.0015440  .0041519
T  226 54 .1175894E+11   8240000E+01  .1563E+06 -.3219E+06   .9999642 -.0080092  .0027334
T  227 54 .1176619E+11   8240000E+01  .1835E+06 -.2515E+06   .9999841  .0034393 -.0044579
T  228 54 .1180691E+11   8240000E+01 -.3249E+05 -.2593E+05   .9999972 -.0021684 -.0009172
T  229 54 .1177318E+11   8240000E+01 -.2353E+06 -.4046E+05   .9999936 -.0023906 -.0026500
