 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2609,262.390,255,64.313,0.797,23.354,66909.449,22695,28407,5094,17.103,17.170,1.156,0.865,0.852
2610,58.964,255,27.300,0.994,10.994,15035.831,5100,31842,5090,128.660,8.585,1.210,0.827,0.889
2611,67.809,255,29.728,0.964,12.382,17291.206,5865,8544,5099,56.310,8.585,1.354,0.739,0.885
2612,70.757,255,33.162,0.809,12.382,18042.998,6120,8165,5100,56.310,8.585,1.032,0.969,0.873
2613,306.613,255,66.741,0.865,23.036,78186.323,26520,34117,5107,26.565,20.604,1.039,0.963,0.874
2614,61.912,255,28.722,0.943,10.994,15787.623,5355,27147,5098,128.660,8.585,1.057,0.946,0.840
2615,247.649,255,60.462,0.851,21.989,63150.491,21420,22869,5111,38.660,17.620,1.150,0.869,0.875
2616,280.079,255,144.130,0.169,66.278,71420.199,24225,10499,5139,73.443,7.903,11.101,0.090,0.642
2617,85.498,255,44.298,0.548,16.911,21801.955,7395,38238,5111,66.038,9.982,1.664,0.601,0.725
2618,362.629,255,77.460,0.759,25.526,92470.362,31365,10381,5103,109.654,20.604,1.196,0.836,0.869
