 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
63,10_Plate_001.tif,29.850,255.000,22951.389,48.492,22.980,0.710,7611.711,22440,1.495,0.669,0.819
64,10_Plate_001.tif,10.854,255.000,16622.743,47.285,22.097,0.279,2767.895,8160,1.242,0.805,0.496
65,10_Plate_001.tif,11.194,255.000,17924.684,46.708,13.861,0.732,2854.391,8415,1.083,0.924,0.733
66,10_Plate_001.tif,13.907,255.000,2986.441,49.910,27.239,0.236,3546.365,10455,6.286,0.159,0.494
67,10_Plate_001.tif,31.207,255.000,4673.229,49.290,21.815,0.824,7957.697,23460,1.239,0.807,0.864
68,10_Plate_001.tif,16.960,255.000,21287.863,50.612,15.225,0.919,4324.836,12750,1.211,0.826,0.893
69,10_Plate_001.tif,30.867,255.000,2539.770,53.124,38.970,0.255,7871.201,23205,1.364,0.733,0.619
70,10_Plate_001.tif,17.639,250.096,5546.821,52.902,21.956,0.460,4411.332,13005,1.931,0.518,0.738
71,10_Plate_001.tif,75.981,253.862,16678.897,61.612,66.526,0.216,19288.766,56865,2.320,0.431,0.561
72,10_Plate_001.tif,14.247,255.000,4936.004,53.596,17.014,0.618,3632.862,10710,2.129,0.470,0.778
73,10_Plate_001.tif,12.211,255.000,430.612,55.847,26.757,0.214,3113.882,9180,7.640,0.131,0.533
74,10_Plate_001.tif,212.341,253.778,2994.281,69.300,144.866,0.127,53887.450,158865,2.245,0.445,0.527
75,10_Plate_001.tif,18.317,255.000,6276.494,56.246,16.873,0.809,4670.822,13770,1.328,0.753,0.908
76,10_Plate_001.tif,40.026,255.000,1111.196,58.414,34.369,0.426,10206.612,30090,1.218,0.821,0.704
77,10_Plate_001.tif,32.563,255.000,6928.430,61.366,36.899,0.301,8303.684,24480,2.037,0.491,0.703
78,10_Plate_001.tif,34.259,255.000,19763.429,58.411,27.298,0.578,8736.168,25755,2.640,0.379,0.786
79,10_Plate_001.tif,23.405,255.000,4301.178,58.693,17.838,0.924,5968.273,17595,1.245,0.803,0.902
80,10_Plate_001.tif,11.872,255.000,18667.834,59.714,18.520,0.435,3027.385,8925,3.476,0.288,0.654
